Date,Actual,Predicted
2020-03-14,200.00997864215276,195.9204
2020-03-15,207.16731096461427,194.69885
2020-03-16,203.0076888131227,201.47212
2020-03-17,200.2084530558572,201.00954
2020-03-18,198.85142909400855,198.63301
2020-03-19,197.07543199283333,197.20541
2020-03-20,189.94901446509067,197.38078
2020-03-21,194.23784146373296,192.73515
2020-03-22,190.41292037796666,193.3116
2020-03-23,184.89399530994854,190.97824
2020-03-24,174.18675050629304,188.92078
2020-03-25,166.31101316848276,169.51297
2020-03-26,168.14143445559444,157.63284
2020-03-27,197.5762047908972,172.37988
2020-03-28,199.11659597130685,189.9731
2020-03-29,198.50342443308455,183.99107
2020-03-30,201.3239054273699,185.27954
2020-03-31,202.66161052261674,194.34154
2020-04-01,209.0281247045531,198.66574
2020-04-02,201.88616108680347,200.70517
2020-04-03,199.64245441527135,200.33493
2020-04-04,202.43909686862875,197.0129
2020-04-05,201.56309043711605,201.25665
2020-04-06,201.31574442407165,200.09944
2020-04-07,200.62661850371705,200.09944
2020-04-08,185.8657262933183,198.48985
2020-04-09,175.15417048127824,185.74725
2020-04-10,165.03165918327056,174.80626
2020-04-11,175.04594452165327,184.37804
2020-04-12,179.62788395702,174.78804
2020-04-13,157.58412805133355,171.56982
2020-04-14,179.72402949732498,144.59549
2020-04-15,183.56204169703219,173.92177
2020-04-16,178.90144290854346,173.5295
2020-04-17,156.17442111800437,166.31598
2020-04-18,43.82203676911092,123.74461
2020-04-19,24.108445394978446,121.52331
2020-04-20,33.68991785397213,59.733025
2020-04-21,196.47580609259086,99.32828
2020-04-22,16.51024112052363,183.81996
2020-04-23,44.362132358537565,113.519264
2020-04-24,123.84766127291851,123.27459
2020-04-25,156.4137834100976,149.3623
2020-04-26,169.03171673610314,118.93067
2020-04-27,186.00141607168695,152.9556
2020-04-28,169.97536954712234,173.91376
2020-04-29,170.52960542766345,160.89679
2020-04-30,154.56408765349124,168.83688
2020-05-01,148.8095866486147,151.01105
2020-05-02,125.21045757071732,146.34688
2020-05-03,165.964660894149,146.14085
2020-05-04,149.2275365953069,164.08917
2020-05-05,153.03881932512945,151.21541
2020-05-06,154.2605964702194,152.3781
2020-05-07,171.17946928712115,149.89053
2020-05-08,166.20461018226024,160.60574
2020-05-09,168.42350417932744,165.4471
2020-05-10,171.1070955890259,170.23914
2020-05-11,155.8084060744178,169.13132
2020-05-12,183.4114970314331,144.92152
2020-05-13,174.68765165251284,176.24966
2020-05-14,185.6310530259401,170.30621
2020-05-15,158.10879767532788,177.78484
2020-05-16,166.84879971102987,156.35124
2020-05-17,169.3215574624444,165.98769
2020-05-18,178.3415092095529,166.44931
2020-05-19,147.8268055932096,168.92287
2020-05-20,157.71743831169783,153.53407
2020-05-21,150.9152688697867,159.41522
2020-05-22,158.71776217475565,148.5166
2020-05-23,157.6440904334654,160.69896
2020-05-24,182.8231377464005,156.02284
2020-05-25,181.59588366474355,174.20862
2020-05-26,169.35506368311826,173.65471
2020-05-27,174.87660398382377,170.23914
2020-05-28,168.81061229742534,171.89146
2020-05-29,159.025513906588,169.98799
2020-05-30,141.9990900067702,160.69896
2020-05-31,144.84560785340102,148.6794
2020-06-01,166.28802127292317,148.40863
2020-06-02,165.97005144603656,164.56319
2020-06-03,107.81752160518931,164.51674
2020-06-04,161.57451743864533,126.0467
2020-06-05,77.26671316900342,166.33318
2020-06-06,172.50155134325985,134.5771
2020-06-07,163.7570073855552,165.6931
2020-06-08,168.92583845627098,163.57281
2020-06-09,158.9299083646597,169.89449
2020-06-10,126.88777304473183,159.83438
2020-06-11,50.41539652190585,141.68083
2020-06-12,52.31189740258009,141.80771
2020-06-13,50.35112215961459,138.11801
2020-06-14,124.51858869450416,143.5438
2020-06-15,101.31392264406861,147.11275
2020-06-16,85.15736355527349,138.27094
2020-06-17,149.10915041350773,134.89386
2020-06-18,89.08738443879747,147.85982
2020-06-19,34.523467446294944,136.20027
2020-06-20,28.336862286786072,118.62845
2020-06-21,121.71136483319015,84.79328
2020-06-22,168.1018675215911,178.47336
2020-06-23,161.88722365523722,169.16307
2020-06-24,155.19416328246677,160.87694
2020-06-25,169.16991205335876,146.57852
2020-06-26,159.347039906531,167.58629
2020-06-27,171.36465363104332,160.35434
2020-06-28,170.83085580534043,166.68787
2020-06-29,173.9710072405329,168.97125
2020-06-30,122.7053355743621,170.29462
2020-07-01,101.6068534767183,125.532715
2020-07-02,136.57427291601027,139.42903
2020-07-03,154.5612497215527,148.6617
2020-07-04,143.39270188101608,151.98044
2020-07-05,104.9915835652028,138.14072
2020-07-06,113.9600107151607,137.34294
2020-07-07,153.76243829204634,144.64
2020-07-08,176.67065242488889,151.75058
2020-07-09,173.4200591195338,168.37053
2020-07-10,150.8702106794167,167.53934
2020-07-11,139.62387679474034,148.24348
2020-07-12,148.80074052750956,127.85874
2020-07-13,171.9137230072231,152.23637
2020-07-14,169.5505408674927,168.54509
2020-07-15,115.01633835733924,167.98904
2020-07-16,64.1075075989101,132.8211
2020-07-17,52.58529944291979,139.68513
2020-07-18,138.9895765895281,151.81902
2020-07-19,153.2085916962683,150.32625
2020-07-20,131.7752229511239,151.83482
2020-07-21,63.45371746675778,145.13194
2020-07-22,61.70877390534616,136.15211
2020-07-23,60.973957968748664,142.01505
2020-07-24,67.85730287138563,136.70886
2020-07-25,161.7668706193466,137.46259
2020-07-26,137.1136788032063,162.83769
2020-07-27,163.74618248587058,146.75896
2020-07-28,166.9143571453301,162.23842
2020-07-29,174.82774421143154,164.72798
2020-07-30,171.04585134048716,170.53561
