Date,Actual,Predicted
2020-03-14,189.94901446509067,196.51613
2020-03-15,194.23784146373296,197.76984
2020-03-16,190.41292037796666,196.19289
2020-03-17,184.89399530994854,191.66245
2020-03-18,174.18675050629304,191.20346
2020-03-19,166.31101316848276,192.10686
2020-03-20,168.14143445559444,192.31107
2020-03-21,197.5762047908972,179.8264
2020-03-22,199.11659597130685,192.0972
2020-03-23,198.50342443308455,192.5515
2020-03-24,201.3239054273699,188.86668
2020-03-25,202.66161052261674,182.27847
2020-03-26,209.0281247045531,179.29532
2020-03-27,201.88616108680347,185.21724
2020-03-28,199.64245441527135,176.65787
2020-03-29,202.43909686862875,189.5653
2020-03-30,201.56309043711605,175.19362
2020-03-31,201.31574442407165,184.2611
2020-04-01,200.62661850371705,182.0734
2020-04-02,185.8657262933183,188.85109
2020-04-03,175.15417048127824,187.08617
2020-04-04,165.03165918327056,189.1607
2020-04-05,175.04594452165327,188.67317
2020-04-06,179.62788395702,187.56787
2020-04-07,157.58412805133355,187.56787
2020-04-08,179.72402949732498,187.4557
2020-04-09,183.56204169703219,177.33868
2020-04-10,178.90144290854346,177.13477
2020-04-11,156.17442111800437,170.92331
2020-04-12,43.82203676911092,173.55956
2020-04-13,24.108445394978446,173.62173
2020-04-14,33.68991785397213,154.5092
2020-04-15,196.47580609259086,174.8982
2020-04-16,16.51024112052363,168.04082
2020-04-17,44.362132358537565,168.08734
2020-04-18,123.84766127291851,150.45154
2020-04-19,156.4137834100976,151.08162
2020-04-20,169.03171673610314,145.97552
2020-04-21,186.00141607168695,149.48993
2020-04-22,169.97536954712234,166.66617
2020-04-23,170.52960542766345,143.44798
2020-04-24,154.56408765349124,143.95697
2020-04-25,148.8095866486147,171.8453
2020-04-26,125.21045757071732,164.24593
2020-04-27,165.964660894149,160.25981
2020-04-28,149.2275365953069,169.40636
2020-04-29,153.03881932512945,168.55823
2020-04-30,154.2605964702194,165.42381
2020-05-01,171.17946928712115,164.51543
2020-05-02,166.20461018226024,169.16588
2020-05-03,168.42350417932744,168.83188
2020-05-04,171.1070955890259,172.59218
2020-05-05,155.8084060744178,169.31488
2020-05-06,183.4114970314331,165.15968
2020-05-07,174.68765165251284,162.65906
2020-05-08,185.6310530259401,169.10223
2020-05-09,158.10879767532788,167.77383
2020-05-10,166.84879971102987,169.46648
2020-05-11,169.3215574624444,168.45482
2020-05-12,178.3415092095529,167.42369
2020-05-13,147.8268055932096,166.5518
2020-05-14,157.71743831169783,166.70772
2020-05-15,150.9152688697867,166.64195
2020-05-16,158.71776217475565,169.40303
2020-05-17,157.6440904334654,168.60541
2020-05-18,182.8231377464005,169.73232
2020-05-19,181.59588366474355,169.42065
2020-05-20,169.35506368311826,169.25124
2020-05-21,174.87660398382377,166.65234
2020-05-22,168.81061229742534,168.7546
2020-05-23,159.025513906588,167.89336
2020-05-24,141.9990900067702,166.65234
2020-05-25,144.84560785340102,169.87999
2020-05-26,166.28802127292317,164.86617
2020-05-27,165.97005144603656,167.25104
2020-05-28,107.81752160518931,166.65353
2020-05-29,161.57451743864533,166.8082
2020-05-30,77.26671316900342,165.01181
2020-05-31,172.50155134325985,154.26924
2020-06-01,163.7570073855552,150.50388
2020-06-02,168.92583845627098,164.18611
2020-06-03,158.9299083646597,164.9857
2020-06-04,126.88777304473183,161.12337
2020-06-05,50.41539652190585,164.21733
2020-06-06,52.31189740258009,156.62666
2020-06-07,50.35112215961459,159.76778
2020-06-08,124.51858869450416,164.34787
2020-06-09,101.31392264406861,165.41751
2020-06-10,85.15736355527349,163.69006
2020-06-11,149.10915041350773,163.17044
2020-06-12,89.08738443879747,154.50092
2020-06-13,34.523467446294944,156.1025
2020-06-14,28.336862286786072,157.28506
2020-06-15,121.71136483319015,161.34271
2020-06-16,168.1018675215911,159.39348
2020-06-17,161.88722365523722,152.33379
2020-06-18,155.19416328246677,164.13211
2020-06-19,169.16991205335876,164.28996
2020-06-20,159.347039906531,159.28499
2020-06-21,171.36465363104332,156.58054
2020-06-22,170.83085580534043,163.17044
2020-06-23,173.9710072405329,154.09084
2020-06-24,122.7053355743621,159.20769
2020-06-25,101.6068534767183,162.32019
2020-06-26,136.57427291601027,165.41751
2020-06-27,154.5612497215527,163.47638
2020-06-28,143.39270188101608,164.98334
2020-06-29,104.9915835652028,164.69183
2020-06-30,113.9600107151607,165.92137
2020-07-01,153.76243829204634,163.04872
2020-07-02,176.67065242488889,159.91516
2020-07-03,173.4200591195338,159.07005
2020-07-04,150.8702106794167,163.25502
2020-07-05,139.62387679474034,158.16185
2020-07-06,148.80074052750956,158.0083
2020-07-07,171.9137230072231,162.2945
2020-07-08,169.5505408674927,159.26842
2020-07-09,115.01633835733924,162.93497
2020-07-10,64.1075075989101,163.96292
2020-07-11,52.58529944291979,163.1612
2020-07-12,138.9895765895281,164.85338
2020-07-13,153.2085916962683,164.22327
2020-07-14,131.7752229511239,163.5341
2020-07-15,63.45371746675778,166.972
2020-07-16,61.70877390534616,161.32077
2020-07-17,60.973957968748664,155.59802
2020-07-18,67.85730287138563,156.26508
2020-07-19,161.7668706193466,159.30258
2020-07-20,137.1136788032063,158.5258
2020-07-21,163.74618248587058,149.83614
2020-07-22,166.9143571453301,150.85167
2020-07-23,174.82774421143154,152.89136
2020-07-24,171.04585134048716,159.24698
2020-07-25,157.8698563173856,164.9587
2020-07-26,170.9843554235797,169.24477
2020-07-27,172.20706160708778,171.88882
2020-07-28,162.81584838789183,170.6089
2020-07-29,159.60738638110195,167.80176
2020-07-30,132.2603371074207,168.61633
